account, date, symbol, shares, price, type
tsp_mil,20170308, tsp_c_fund,8.1023,32.7217,purchase
tsp_mil,20170315, tsp_c_fund,2.0058,33.0444,purchase
tsp_mil,20170322, tsp_c_fund,4.0737,32.5407,purchase
tsp_mil,20170329, tsp_c_fund,2.0254,32.724,purchase
tsp_mil,20170406, tsp_c_fund,8.109,32.6945,purchase
tsp_mil,20170503, tsp_c_fund,7.9988,33.1449,purchase
tsp_mil,20170515, tsp_c_fund,3.9716,33.3771,purchase
tsp_mil,20170526, tsp_c_fund,3.9459,33.5942,purchase
tsp_mil,20170609, tsp_c_fund,3.9172,33.8403,purchase
tsp_mil,20170623, tsp_c_fund,5.856,33.955,purchase
tsp_mil,20170905, tsp_c_fund,10.5194,34.3669,purchase
tsp_mil,20171002, tsp_c_fund,15.3164,35.4051,purchase
tsp_mil,20171102, tsp_c_fund,19.9958,36.1591,purchase
tsp_mil,20171204, tsp_c_fund,19.4965,37.0851,purchase
tsp_mil,20180102, tsp_c_fund,19.0654,37.9236,purchase
tsp_mil,20180202, tsp_c_fund,19.031,38.9033,purchase
tsp_mil,20180302, tsp_c_fund,20.4657,37.985,purchase
tsp_mil,20180402, tsp_c_fund,21.3073,36.4846,purchase
tsp_mil,20180502, tsp_c_fund,20.8495,37.2857,purchase
tsp_mil,20180604, tsp_c_fund,2.8508,38.957,purchase
tsp_mil,20180702, tsp_c_fund,2.8684,38.7183,purchase
tsp_mil,20180907, tsp_c_fund,6.8506,40.9334,purchase
tsp_mil,20181001, tsp_c_fund,5.4984,41.7249,purchase
tsp_mil,20181010, tsp_c_fund,2.8847,39.765,purchase
tsp_mil,20181101, tsp_c_fund,1.4655,39.141,purchase
tsp_mil,20181107, tsp_c_fund,22.8288,40.1997,purchase
tsp_mil,20181128, tsp_c_fund,5.8423,39.2691,purchase
tsp_mil,20181219, tsp_c_fund,3.1922,35.9343,purchase
tsp_mil,20181221, tsp_c_fund,3.3115,34.64,purchase
tsp_mil,20190125, tsp_c_fund,6.1535,38.2549,purchase
tsp_mil,20190301, tsp_c_fund,2.9165,40.3567,purchase
tsp_mil,20190315, tsp_c_fund,5.7888,40.6644,purchase
tsp_mil,20190405, tsp_c_fund,5.6435,41.7117,purchase
tsp_mil,20190510, tsp_c_fund,5.6555,41.623,purchase
tsp_mil,20190531, tsp_c_fund,5.9131,39.8099,purchase
tsp_mil,20190705, tsp_c_fund,5.432,43.3355,purchase
tsp_mil,20190809, tsp_c_fund,5.5567,42.3629,purchase
tsp_mil,20190821, tsp_c_fund,1.385,42.4904,purchase
tsp_mil,20190906, tsp_c_fund,2.7171,43.3186,purchase
tsp_mil,20200415, tsp_c_fund,15.812,40.9303,purchase
tsp_mil,20200708, tsp_c_fund,2.3043,46.8131,purchase
tsp_mil,20200923, tsp_c_fund,10.0297,47.9774,purchase
tsp_mil,20210120, tsp_c_fund,8.6382,57.3777,purchase
tsp_mil,20210122, tsp_c_fund,4.3304,57.2283,purchase
tsp_mil,20210210, tsp_c_fund,8.5035,58.2868,purchase
tsp_mil,20210301, tsp_c_fund,4.2562,58.2263,purchase
tsp_mil,20210305, tsp_c_fund,4.3213,57.3487,purchase
tsp_mil,20210409, tsp_c_fund,56.2151,61.7171,purchase
tsp_mil,20210428, tsp_c_fund,11.8858,62.5502,purchase
tsp_mil,20210507, tsp_c_fund,3.914,63.3169,purchase
tsp_mil,20210514, tsp_c_fund,1.9837,62.4643,purchase
tsp_mil,20210615, tsp_c_fund,1.9468,63.6469,purchase
tsp_mil,20210623, tsp_c_fund,1.9488,63.5837,purchase
tsp_mil,20210723, tsp_c_fund,7.4875,66.1957,purchase
tsp_mil,20210811, tsp_c_fund,22.2694,66.7687,purchase
tsp_mil,20210908, tsp_c_fund,1.8261,67.8558,purchase
tsp_mil,20210910, tsp_c_fund,1.8486,67.0305,purchase
tsp_mil,20210917, tsp_c_fund,1.8586,66.6676,purchase
tsp_mil,20210929, tsp_c_fund,3.7789,65.58,purchase
tsp_mil,20160720, tsp_s_fund,2.975,37.7917,purchase
tsp_mil,20160819, tsp_s_fund,3.3833,38.374,purchase
tsp_mil,20160921, tsp_s_fund,3.3696,38.53,purchase
tsp_mil,20161026, tsp_s_fund,3.4578,37.5468,purchase
tsp_mil,20161115, tsp_s_fund,3.2773,39.6144,purchase
tsp_mil,20161223, tsp_s_fund,3.138,41.373,purchase
tsp_mil,20170118, tsp_s_fund,3.9779,41.6549,purchase
tsp_mil,20170201, tsp_s_fund,0.7924,41.8246,purchase
tsp_mil,20170208, tsp_s_fund,0.7889,42.0056,purchase
tsp_mil,20170215, tsp_s_fund,0.7677,43.1659,purchase
tsp_mil,20170222, tsp_s_fund,3.0639,43.2654,purchase
tsp_mil,20170308, tsp_s_fund,3.1294,42.3596,purchase
tsp_mil,20170315, tsp_s_fund,0.7728,42.885,purchase
tsp_mil,20170322, tsp_s_fund,1.5825,41.8781,purchase
tsp_mil,20170329, tsp_s_fund,0.7784,42.5739,purchase
tsp_mil,20170406, tsp_s_fund,3.1219,42.4619,purchase
tsp_mil,20170503, tsp_s_fund,3.0737,43.1276,purchase
tsp_mil,20170515, tsp_s_fund,1.5318,43.2694,purchase
tsp_mil,20170526, tsp_s_fund,1.5325,43.2489,purchase
tsp_mil,20170609, tsp_s_fund,1.5066,43.9944,purchase
tsp_mil,20170623, tsp_s_fund,2.2571,44.0473,purchase
tsp_mil,20170905, tsp_s_fund,4.0987,44.0996,purchase
tsp_mil,20171002, tsp_s_fund,5.811,46.658,purchase
tsp_mil,20171102, tsp_s_fund,7.7329,46.751,purchase
tsp_mil,20171204, tsp_s_fund,7.5387,47.9553,purchase
tsp_mil,20180102, tsp_s_fund,7.3982,48.8657,purchase
tsp_mil,20180202, tsp_s_fund,7.5219,49.2152,purchase
tsp_mil,20180302, tsp_s_fund,7.9971,48.605,purchase
tsp_mil,20180402, tsp_s_fund,8.204,47.3793,purchase
tsp_mil,20180502, tsp_s_fund,7.9645,48.8042,purchase
tsp_mil,20180604, tsp_s_fund,1.0731,51.7388,purchase
tsp_mil,20180702, tsp_s_fund,1.0741,51.6915,purchase
tsp_mil,20180907, tsp_s_fund,2.6022,53.8814,purchase
tsp_mil,20181001, tsp_s_fund,2.1537,53.2613,purchase
tsp_mil,20181010, tsp_s_fund,1.1482,49.9553,purchase
tsp_mil,20181101, tsp_s_fund,0.5811,49.3406,purchase
tsp_mil,20181107, tsp_s_fund,9.1141,50.346,purchase
tsp_mil,20181128, tsp_s_fund,2.3417,48.9854,purchase
tsp_mil,20181219, tsp_s_fund,1.3076,43.8667,purchase
tsp_mil,20181221, tsp_s_fund,1.3626,42.0954,purchase
tsp_mil,20190125, tsp_s_fund,2.4319,48.3991,purchase
tsp_mil,20190301, tsp_s_fund,1.1341,51.8924,purchase
tsp_mil,20190315, tsp_s_fund,2.2996,51.1822,purchase
tsp_mil,20190405, tsp_s_fund,2.2507,52.2951,purchase
tsp_mil,20190510, tsp_s_fund,2.2572,52.1453,purchase
tsp_mil,20190531, tsp_s_fund,2.3924,49.1973,purchase
tsp_mil,20190705, tsp_s_fund,2.2104,53.2476,purchase
tsp_mil,20190809, tsp_s_fund,2.2765,51.7027,purchase
tsp_mil,20190821, tsp_s_fund,0.5714,51.5026,purchase
tsp_mil,20190906, tsp_s_fund,1.1383,51.7009,purchase
tsp_mil,20200415, tsp_s_fund,7.5789,42.6975,purchase
tsp_mil,20200708, tsp_s_fund,1.0002,53.9192,purchase
tsp_mil,20200923, tsp_s_fund,4.3069,55.8642,purchase
tsp_mil,20210120, tsp_s_fund,3.1112,79.6544,purchase
tsp_mil,20210122, tsp_s_fund,1.5566,79.603,purchase
tsp_mil,20210210, tsp_s_fund,2.9547,83.8722,purchase
tsp_mil,20210301, tsp_s_fund,1.4968,82.7846,purchase
tsp_mil,20210305, tsp_s_fund,1.5766,78.594,purchase
tsp_mil,20210409, tsp_s_fund,21.1214,82.1306,purchase
tsp_mil,20210428, tsp_s_fund,4.3857,84.7601,purchase
tsp_mil,20210507, tsp_s_fund,1.5082,82.1564,purchase
tsp_mil,20210514, tsp_s_fund,0.7695,80.5153,purchase
tsp_mil,20210615, tsp_s_fund,0.7343,84.3757,purchase
tsp_mil,20210623, tsp_s_fund,0.7292,84.9714,purchase
tsp_mil,20210723, tsp_s_fund,2.9288,84.6146,purchase
tsp_mil,20210811, tsp_s_fund,8.7231,85.2268,purchase
tsp_mil,20210908, tsp_s_fund,0.7239,85.5875,purchase
tsp_mil,20210910, tsp_s_fund,0.7301,84.8658,purchase
tsp_mil,20210917, tsp_s_fund,0.7282,85.0861,purchase
tsp_mil,20210929, tsp_s_fund,1.4867,83.347,purchase
