,brokerage_cash_value,sbux_value,ge_value,nrf_value,nsam_value,goog_value,mdor_value,bac_value,f_value,nat_value,usagx_value,bp_value,aapl_value,total_value,,,,GOOG,BP,BAC,F,GE,MDOR,NRF,SBUX,NAT,USAGX,MTRBX,MDIFX,MIGBX,NSAM,AAPL
2019-08-01,783.29,,,,,,,,,207.874362,1530.10893,3576.6,21304,27401.87,27401.87309,-0.000201999999263,,,"$3,787.20",,,,,,,$240.80,"$1,421.33",,,,,"$20,155.00"
2019-09-01,861.58,,,,,,,,,183.176418,1692.25327,3325.5,20874,26936.51,26936.50951,-0.000177999994776,,,"$3,576.60",,,,,,,$207.87,"$1,530.11",,,,,"$21,304.00"
2019-10-01,918.88,,,,,,,,,222.281496,1530.10893,3419.1,22397,28487.37,28487.37021,-0.000216000000364,,,"$3,325.50",,,,,,,$183.18,"$1,692.25",,,,,"$20,874.00"
2019-11-01,918.88,,,,,,,,,392.079861,1573.21059,3461.4,24326,30671.57,30671.57007,-0.000380999998015,,,"$3,419.10",,,,,,,$222.28,"$1,530.11",,,,,"$22,397.00"
2019-12-01,998.28,,,,,,,,,392.079861,1559.8696,3367.8,26725,33043.03,33043.02908,-0.000380999998015,,,"$3,461.40",,,,,,,$392.08,"$1,573.21",,,,,"$24,326.00"
2020-01-01,1056.3,,,,,,,,,506.307852,1710.72541,3396.6,29365,36034.93,36034.93277,-0.000491999999213,,,"$3,367.80",,,,,,,$392.08,"$1,559.87",,,,,"$26,725.00"
2020-02-01,1057.42,,,,,,,,,370.46916,1688.14835,3332.7,32387,38835.74,38835.73715,-0.000359999998182,,,"$3,396.60",,,,,,,$506.31,"$1,710.73",,,,,"$29,365.00"
2020-03-01,1135.55,,,,,,,,,331.364082,1547.55484,2816.1,27336,33166.57,33166.5686,-0.000321999999869,,,"$3,332.70",,,,,,,$370.47,"$1,688.15",,,,,"$32,387.00"
2020-04-01,63.45,,,,,,,,,466.173693,1348.46622,2195.1,25429,29502.19,29502.18946,-0.000453000000562,,,"$2,816.10",,,,,,,$331.36,"$1,547.55",,,,,"$27,336.00"
2020-05-01,63.72,,,,,,,,,619.506762,1884.15828,2142,29380,34089.39,34089.38444,-0.000602000000072,,,"$2,195.10",,,,,,,$466.17,"$1,348.47",,,,,"$25,429.00"
2020-06-01,124.01,,,,,,,,,465.144612,1985.75505,2086.929,31942,36603.84,36604.2279192,0.389257199996791,,,"$2,142.00",,,,,,,$619.51,"$1,884.16",,,,,"$29,380.00"
2020-07-01,216.38,,,,,,,,,423.981372,2136.61086,2116.26,36571,41464.23,41464.0877488,-0.144483200005197,,,"$2,086.93",,,,,,,$465.13,"$1,985.76",,,,,"$31,942.40"
2020-08-01,216.38,,,,,,,,,468.231855,2506.05366,1983.6,42504,47678.27,47678.26506,-0.000455000001239,,,"$2,116.26",,,,,,,$423.84,"$2,136.61",,,,,"$36,571.00"
2020-09-01,216.38,,,,,,,,,448.679316,2459.87331,1883.7,51616,56624.63,56624.63219,-0.000436000002082,,,"$1,983.60",,,,,,,$468.23,"$2,506.05",,,,,"$42,504.00"
2020-10-01,346.86,,,,,,,,,359.149269,2289.51913,1571.4,46324,50890.93,50890.92805,-0.000348999994458,,,"$1,883.70",,,,,,,$448.68,"$2,459.87",,,,,"$51,616.00"
2020-11-01,346.86,,,,,,,,,299.462571,2174.58137,1393.2,43544,47758.10,47758.10365,-0.00029099999665,,,"$1,571.40",,,,,,,$359.15,"$2,289.52",,,,,"$46,324.00"
2020-12-01,428.86,,,,,,,,,341.654892,2029.88294,1899,46636,51335.40,51335.3975,-0.000332000003255,,,"$1,393.20",,,,,,,$299.46,"$2,174.58",,,,,"$43,544.00"
2021-01-01,461.84,,,,,,,,,303.578895,2152.00431,1846.8,53076,57840.22,57840.22291,-0.000295000005281,,,"$1,899.00",,,,,,,$341.65,"$2,029.88",,,,,"$46,636.00"
2021-02-01,461.84,,,,,,,,,303.578895,2152.00431,1846.8,53076,57840.22,57840.22291,-0.000295000005281,,,"$1,846.80",,,,,,,$303.58,"$2,152.00",,,,,"$53,076.00"
2021-03-01,461.84,,,,,,,,,305.637057,1854.39761,2196.9,48504,53322.77,53322.77437,-0.000296999998682,,,"$1,846.80",,,,,,,$303.58,"$2,152.00",,,,,"$53,076.00"
2021-04-01,111.96,,,,,,,,,351.945702,1997.04358,2212.2,49200,53873.15,53873.14894,-0.000341999999364,,,"$2,196.90",,,,,,,$305.64,"$1,854.40",,,,,"$48,504.00"
2021-05-01,111.96,,,,,,,,,340.625811,2041.17147,2264.4,52584,57342.16,57342.15695,-0.000331000002916,,,"$2,212.20",,,,,,,$351.95,"$1,997.04",,,,,"$49,200.00"
2021-06-01,111.96,,,,,,,,,358.120188,2316.20111,2360.7,49844,54990.98,54990.98095,-0.000348000001395,,,"$2,264.40",,,,,,,$340.63,"$2,041.17",,,,,"$52,584.00"
2021-07-01,229.92,,,,,,,,,337.538568,2001.1485,2377.8,54784,59730.41,59730.40674,-0.0003280000019,,,"$2,360.70",,,,,,,$358.12,"$2,316.20",,,,,"$49,844.00"
2021-08-01,229.92,,,,,,,,,254.183007,2067.85345,2254.5,58868,63674.46,63674.45621,-0.000247000003583,,,"$2,377.80",,,,,,,$337.54,"$2,001.15",,,,,"$54,784.00"
2021-09-01,317.92,,,,,,,,,259.328412,1920.07633,2187.9,61004,65689.22,65689.22449,-0.000251999998,,,"$2,254.50",,,,,,,$254.18,"$2,067.85",,,,,"$58,868.00"
2021-10-01,346.95,,,,,,,,,296.375328,1738.43362,2484,57060,61925.76,61925.75866,-0.000288000002911,,,"$2,187.90",,,,,,,$259.33,"$1,920.08",,,,,"$61,004.00"
,,,,,,,,,,,,,,,,,,,"$2,484.00",,,,,,,$296.38,"$1,738.43",,,,,"$57,060.00"
,,,,,,,,,,,,,,,,,,,"$2,484.00",,,,,,,$296.38,"$1,738.43",,,,,"$57,060.00"
